"Cruise","Sonobuoy Number","Date","Latitude","Longitude","Sighting Number","Opportunistic Buoy?","Sonobuoy Type","Channel","Depth","Hours to Scuttle","Bad Buoys","Ship Noise?","Difar Signal?","Water Noise?","Biological Sounds?","Sounds Detected","DAT Tape Number","Additional Tapes?","Reception Distance (nmi)","Recording Reviewed?","Comments"
1629,1,2005-08-15 16:34:59,8.9865,-164.8333,68,NA,"53D",56,90,8,1,1,1,1,0,NA,1,0,4,0,"CHECK BUOY TO SEE IF THERE ARE VOCALS"
1629,2,2005-08-22 12:09:35,3.66,-163.4892,104,NA,"53D",64,90,4,3,1,1,1,1,NA,2,0,3,0,"CHECK SONOBUOY FOR VOCALS"
1629,3,2005-08-22 15:53:48,3.8728,-163.1832,107,NA,"77A",50,NA,4,3,1,1,1,0,NA,3,0,NA,0,"Sh, C2
Check sonobuoy for vocals"
1629,4,2005-08-23 18:12:20,4.9318,-161.9555,121,NA,"53D",50,90,8,1,1,1,1,1,NA,4,1,NA,0,"Check for vocals
SBDAT4-6"
1629,5,2005-09-02 17:00:55,8.9263,-164.0743,167,NA,"77B",56,NA,NA,1,1,1,1,1,NA,7,1,NA,0,"Sh BB
Check sonobuoy for vocals
SBDAT7-8"
1628,3,2005-08-12 13:09:00,43.0768,-129.9023,1049,"Other","77",22,999,999,2,1,1,1,0,NA,2,0,NA,0,NA
1628,5,2005-08-16 14:49:00,45.3253,-126.2038,1060,"Other","77",65,999,999,1,1,1,1,0,NA,1,0,NA,0,NA
1628,7,2005-08-23 17:07:00,43.7238,-128.3883,1112,"Other","57",29,999,999,0,1,0,1,1,NA,2,0,NA,0,NA
1628,9,2005-08-26 14:17:00,43.4531,-130.1508,1119,"Other","77",64,999,999,1,1,1,1,1,NA,3,0,NA,0,NA
1628,10,2005-08-27 14:42:00,40.71,-130.9943,1121,"Other","77",75,999,999,0,1,1,1,1,NA,4,0,NA,0,NA
1628,12,2005-09-04 19:03:00,36.4743,-125.8738,1160,"Other","77",68,999,999,0,1,0,1,0,NA,4,1,NA,0,NA
1628,14,2005-09-17 14:06:00,41.1281,-129.2581,1214,"Other","77",65,999,8,0,1,1,1,0,NA,6,0,NA,0,NA
1628,15,2005-09-22 11:23:00,36.1095,-124.2948,1257,"Other","57",29,999,999,0,1,0,1,0,NA,7,0,NA,0,NA
1628,18,2005-09-29 12:30:00,31.7733,-119.218,1258,"Other","77",55,999,999,3,1,1,1,0,NA,7,0,NA,0,NA
1628,20,2005-09-29 18:22:00,32.2153,-119.1493,1273,"Other","77",58,999,999,0,1,1,1,0,NA,8,0,NA,0,NA
1628,21,2005-09-30 10:47:00,33.0618,-118.2261,1284,"Other","77",64,999,999,0,1,1,1,0,NA,9,0,NA,0,NA
1628,22,2005-10-09 14:22:00,34.3558,-123.26,1309,"Other","77",63,999,999,0,1,1,1,1,NA,10,0,NA,0,NA
1628,23,2005-10-10 14:33:00,35.5056,-122.9475,1316,"Other","77",65,999,999,0,1,1,1,0,NA,11,0,NA,0,NA
1628,24,2005-10-21 17:28:00,43.5115,-126.6831,1430,"Other","77",63,999,999,0,1,1,1,1,NA,12,0,NA,0,NA
1628,25,2005-10-21 18:55:00,43.6008,-126.6683,1433,"Other","77",56,999,999,0,1,1,1,0,NA,12,1,NA,0,NA
1628,26,2005-10-23 12:25:00,45.6738,-124.4258,1442,"Other","77",63,999,999,0,1,1,1,1,NA,13,1,NA,0,NA
1628,27,2005-10-29 10:40:00,99.9999,999.9999,1451,"Other","57",29,999,999,0,1,0,1,1,NA,14,0,NA,0,NA
1628,28,2005-11-10 13:55:00,32.935,-120.465,1503,"Other","77",64,999,999,0,1,1,1,1,NA,15,1,NA,0,NA
1628,29,2005-11-10 15:49:00,32.8858,-120.4686,1504,"Other","77",53,999,999,0,1,1,1,1,NA,15,1,NA,0,NA
1628,30,2005-11-11 17:03:00,33.8293,-121.925,1513,"Other","57",29,999,999,0,1,0,1,1,NA,16,0,NA,0,NA
1628,31,2005-11-19 08:10:00,37.0638,-123.9236,1528,"Other","77",65,999,999,0,1,1,1,1,NA,16,0,NA,0,NA
1628,32,2005-11-22 15:41:00,35.5743,-122.9186,1560,"Other","57",29,999,999,0,1,0,1,0,NA,17,0,NA,0,NA
1628,33,2005-11-27 13:45:00,34.1408,-124.993,1579,"Other","77",63,999,999,0,1,1,1,0,NA,17,0,NA,0,NA
