"Cruise","Sonobuoy Number","Date","Latitude","Longitude","Sighting Number","Opportunistic Buoy?","Sonobuoy Type","Channel","Depth","Hours to Scuttle","Bad Buoys","Ship Noise?","Difar Signal?","Water Noise?","Biological Sounds?","Sounds Detected","DAT Tape Number","Additional Tapes?","Reception Distance (nmi)","Recording Reviewed?","Comments"
1631,1,2006-08-15 18:46:06,11.4774,-129.3522,80,"Other","77A",58,90,999,0,1,1,1,0,NA,1,0,6,0,NA
1631,2,2006-09-05 08:02:42,9.435,-151.2791,96,"Other","53D",52,90,8,1,1,1,1,0,NA,2,0,7,0,"Bryde's Whale"
1631,3,2006-09-05 15:24:15,9.715,-150.5856,104,"Other","77A",68,999,8,0,1,1,1,0,NA,3,0,NA,0,"Bryde's Whale"
1631,4,2006-09-10 15:25:29,4.6425,-135.1289,129,"Other","77A",62,999,8,0,1,1,1,1,"Frog, 40Hz",4,0,7,0,"deployed 400m from whale"
1631,5,2006-09-13 09:14:00,2.2793,-126.8779,133,"Other","77a",67,999,8,1,1,1,0,0,NA,5,0,NA,0,"deployed w/in 500m of whale"
1631,6,2006-09-18 12:54:00,-1.6645,-111.5009,153,"Other","77a",51,999,8,0,1,1,1,0,NA,6,0,4,0,"deployed w/in 500m of whale"
1631,7,2006-09-19 09:13:00,-1.8199,-108.9972,157,"Other","77a",69,999,8,3,1,1,0,0,NA,7,0,6,0,NA
1631,8,2006-09-19 12:45:00,-1.838,-108.5247,158,"Other","77a",54,999,8,0,1,1,1,0,NA,8,0,11,0,"deployed 100m from whale"
1631,9,2006-09-20 07:32:00,-1.9804,-106.2676,160,"Other","77a",63,999,8,0,1,1,0,0,NA,9,0,NA,0,NA
1631,10,2006-09-20 09:51:00,-2.0025,-106.1283,NA,"Other","77a",57,999,8,0,1,1,0,0,NA,10,0,6,0,"deployed w/in 300m of whale"
1631,11,2006-09-20 16:15:00,-2.0509,-105.3604,166,"Other","77a",66,999,8,0,1,1,1,0,NA,11,0,NA,0,NA
1631,12,2006-09-20 17:54:00,-2.0801,-105.2099,167,"Other","77a",50,999,8,0,1,1,0,0,NA,12,0,NA,0,"buoy deployed w/in 500m of whale"
1631,13,2006-09-21 09:32:00,-2.2445,-103.3245,169,"Other","77a",62,999,8,0,1,1,0,0,NA,13,0,NA,0,NA
1631,14,2006-09-22 07:06:00,-2.3856,-100.8244,175,"Other","77a",60,999,8,0,1,1,0,0,NA,14,0,6,0,"deployed w/in 3/4nmi of whale"
1631,15,2006-09-22 09:10:00,-2.4089,-100.6105,176,"Other","77a",55,999,8,0,1,1,0,0,NA,15,0,7,0,"buoy died young"
1631,16,2006-09-22 11:46:00,-2.4914,-100.3464,178,"Other","77a",58,999,8,0,1,1,1,0,NA,16,0,6,0,"deployed w/in 300m of whale"
