Deployment ID,Deployment Date/TimeUTC,vhfFreq,PG Ch,Receiver,UFX Instrument Input Gain Channels 9 and 10,Latitude,Longitude,Blue,Fin,Sei,Humpback,Bryde's,Sperm,Killer,Minke,Other/Comment,POST Comments
1,08/06/2014 03:23:00,54,0 and 1,13F13003 and 13F13002,,33.1222,-118.3655,-,-,,-,-,-,-,,SB recorders on both channels. Receiver 13F13002 works better,Not in Main database. Cannot confirm location or time
2,08/07/2014 04:16:03,54,0,13F13003,,33.8992,-121.8585,-,-,-,-,-,-,-,,fail,
3,08/07/2014 04:23:51,56,1,13F13002,,33.9045,-121.8796,probable,possible,,-,-,-,-,,kettle drum' pulses,
4,08/07/2014 04:30:52,52,0,13F13003,,33.9090,-121.8993,probable,possible,,-,-,-,-,,kettle drum' pulses,
4,08/08/2014 03:19:06,52,0,13F13003,,34.6487,-125.1191,probable,probable,,-,-,-,-,,-,
5,08/08/2014 03:26:12,56,1,13F13002,,34.6526,-125.1446,probable,probable,,-,-,-,-,,-,
8,08/08/2014 20:49:02,52,0,13F13003,,35.2401,-127.8126,-,-,,-,possible,-,-,,Opportunistic deployment on Bryde's sighting. A couple of possible calls,
9,08/09/2014 04:45:52,52,0,13F13003,,36.0639,-127.7629,-,possible,,-,-,-,-,,60 to 37 Hz downsweeps,
10,08/09/2014 04:54:36,56,1,13F13002,,36.0836,-127.7567,-,possible,,-,-,-,-,,60 to 37 Hz downsweeps,
11,08/10/2014 03:50:45,52,0,13F13003,,38.9324,-126.8098,possible,possible,,-,-,-,-,,downsweeps 30-20 Hz and 100-30 Hz,
12,08/10/2014 04:00:43,56,1,13F13002,,38.9441,-126.8047,possible,possible,,-,-,-,-,,downsweeps 30-20 Hz and 100-30 Hz,
14,08/12/2014 04:51:24,52,0,13F13003,,43.9137,-125.0061,possible,possible,,-,-,-,-,,various downsweeps <70 Hz,
15,08/12/2014 04:58:34,56,1,13F13003,,43.9331,-125.0021,possible,possible,,-,-,-,-,,various downsweeps <70 Hz,
16,08/13/2014 04:24:18,52,0,13F13003,,46.5346,-124.6078,possible,possible,,-,-,-,-,,various downsweeps <60 Hz,
17,08/13/2014 04:35:24,56,1,13F13002,,46.5404,-124.6325,possible,possible,,-,-,-,-,,various downsweeps <60 Hz,
18,08/14/2014 04:06:14,52,0,13F13003,,47.9400,-125.1680,-,-,-,-,-,-,-,,-,
19,08/14/2014 04:33:43,56,1,13F13002,,47.9355,-125.1316,-,-,-,-,-,-,-,,-,
20,08/15/2014 03:22:49,52,0,13F13003,,48.1876,-125.7097,-,-,-,definite,-,-,-,,Grampus clicks (Grampus and humpbacks around ship during SB deployment),
21,08/15/2014 03:33:27,56,1,13F13002,,48.1778,-125.7323,-,-,-,definite,-,-,-,,Grampus and humpbacks around ship during SB deployment,
22,08/16/2014 03:27:00,52,1,13F13003,,45.8486,-127.5394,-,possible,-,-,-,-,-,,repeated triplet downsweeps 25-20Hz,
23,08/16/2014 03:36:00,56,0,13F13002,,45.8324,-127.5500,-,possible,-,-,-,-,-,,repeated triplet downsweeps 25-20Hz,
24,08/17/2014 03:14:40,52,1,13F13003,,46.1310,-125.8056,-,-,-,-,-,-,-,,-,
25,08/17/2014 03:22:18,56,0,13F13002,,46.1488,-125.8016,-,possible,-,-,-,-,-,,-,
26,08/17/2014 16:38:28,52,0 and 1,13F13003 and 13F13002,,46.8308,-126.1440,-,probable,-,-,-,-,-,,Opportunistic deployment on fin whale,
27,08/18/2014 03:01:47,52,1,13F13003,,47.0481,-127.8998,-,-,-,-,-,-,-,,,
28,08/18/2014 03:09:33,56,0,13F13002,,47.0619,-127.9167,-,possible,possible,-,-,-,-,,30 to 20 Hz downsweep,
29,08/20/2014 03:04:00,52,1,13F13002,,44.8059,-129.6820,-,-,-,-,-,-,-,,lots of 'mechanical' noise - LF thump/blips,
30,08/20/2014 03:16:00,56,0,13F13003,,44.8249,-129.6756,-,-,-,-,-,-,-,,lots of 'mechanical' noise - LF thump/blips,
31,08/21/2014 03:19:00,56,0,13F13003,,45.6618,-127.9855,-,-,-,-,-,-,-,,noise from other vessel,
32,08/21/2014 03:28:00,52,1,13F13002,,45.6623,-127.9594,-,-,-,-,-,-,-,,noise from other vessel,
33,08/21/2014 19:25:00,52,0 and 1,13F13003 and 13F13002,,45.1587,-127.7815,-,possible,definite,-,-,-,-,,Opportunistic deployment on 3 sei whales. Good range of call types. Also possible remote fin whale?,
34,08/22/2014 03:00:00,52,1,13F13002,,44.5389,-128.0840,-,possible,possible,-,-,-,-,,some 30-20Hz downsweeps,
35,08/22/2014 03:07:00,56,0,13F13003,,44.5229,-128.0897,-,possible,possible,-,-,-,-,,some 30-20Hz downsweeps,
36,08/23/2014 02:16:00,54,0 and 1,13F13003 and 13F13002,,44.1178,-126.5837,-,definite,-,-,-,-,-,,Opportunistic deployment dispersed fin and humpback whales. One fin whale very close to vessel and SB. Most if not all calls from fin whale,
36,08/23/2014 03:32:00,54,1,13F13002,,44.1178,-126.5837,-,definite,-,-,-,-,-,,Break in recording for deployment of SB 37. Restart on only one receiver/channel. Fin whales continue,
37,08/23/2014 03:33:00,52,0,13F13003,,44.1041,-126.5733,-,definite,-,-,-,-,-,,Fin whales,
38,08/25/2014 03:13:00,52,0,13F13003,,43.5805,-125.1525,possible,definite,-,-,-,-,-,,Probably just fins but maybe blues also,
39,08/25/2014 03:21:00,56,1,13F13002,,43.5927,-125.1495,possible,definite,-,-,-,-,-,,Probably just fins but maybe blues also,
