cruise,sonobuoy_number,dat_number,date,sighting_number,sighting_species,near_species
1621,1,1,8/29/2002 6:40,145,72,72
1621,2,2,8/29/2002 14:48,147,98,NA
1621,3,3,9/10/2002 19:18,166,72,NA
1621,3,4,9/10/2002 19:18,166,72,NA
1621,4,5,9/12/2002 16:13,169,72,NA
1621,5,6,9/17/2002 10:11,177,72,59
1621,6,7,10/16/2002 9:20,212,72,NA
1621,8,10,11/7/2002 8:02,265,74,21
1621,9,11,11/8/2002 15:15,275,73,NA
1621,10,12,11/20/2002 16:32,284,73,NA
1621,10,13,11/20/2002 16:32,284,73,NA
1621,11,14,11/22/2002 10:46,287,73,NA
1623,2,2,9/17/2003 14:58,245,72,NA
1623,3,3,10/7/2003 15:28,328,46,18
1623,4,4,10/9/2006 14:32,339,72,"13, 61"
1623,5,5,10/10/2003 14:03,352,72,NA
1623,13,13,10/22/2003 16:44,427,99,NA
1623,17,17,11/2/2003 9:23,451,99,16
1623,19,19,11/2/2003 18:23,457,99,16
1623,20,20,11/3/2003 11:03,466,99,18
1623,25,26,11/8/2003 14:26,510,"76, 99",NA
1623,26,27,11/13/2003 17:45,543,37,NA
1623,36,37,12/2/2003 11:24,767,72,"77, 2, 10"
1623,37,38,12/5/2003 10:34,778,74,NA
1624,5,5,11/26/2003 10:45,700,72,NA
1624,8,8,12/8/2003 13:15,735,75,17
1629,3,3,8/22/2005 15:53,107,99,72
1629,4,4,8/23/2005 18:12,121,72,99
1629,4,5,8/23/2005 18:12,121,72,99
1629,4,6,8/23/2005 18:12,121,72,99
1629,5,7,9/2/2005 17:00,167,72,NA
1629,5,8,9/2/2005 17:00,167,72,NA
1631,1,1,8/15/2006 18:46,80,72,NA
1631,2,2,9/5/2006 8:02,96,72,"177, 77, 36, 2"
1631,3,3,9/5/2006 15:24,104,"72, 49","11, 2, 70"
1631,4,4,9/10/2006 15:25,129,72,NA
1631,5,5,9/13/2006 9:14,133,72,NA
1631,6,6,9/18/2006 12:54,153,"72, 15",NA
1631,23,24,10/8/2006 14:26,253,99,NA
1631,26,27,10/13/2006 8:12,264,99,NA
1631,28,29,10/13/2006 16:49,268,72,NA
1631,35,36,10/17/2006 9:18,296,72,"49, 70, 17, 101, 79"
1631,36,37,10/18/2006 7:50,306,"72, 77","177, 49, 33, 18"
1631,37,38,10/18/2006 6:06,316,"72, 99","2, 101"
1631,38,39,10/21/2006 12:29,332,75,"177, 36"
1631,42,43,11/29/2006 14:18,555,72,NA
1631,43,44,11/29/2006 18:10,556,70,NA
1631,44,45,12/6/2006 10:57,573,76,"17, 177"
1635,9,3,8/3/2008 12:59,37,74,44
1635,17,7,8/6/2008 15:16,58,75,NA
1635,25,15,8/11/2008 8:24,73,75,NA
1635,27,17,8/12/2008 8:27,77,"70, 73, 74",NA
1635,32,20,8/13/2008 17:47,85,"70, 74",NA
1635,37,22,8/16/2008 13:03,93,74,NA
