date_original,date,cruise,sonobuoy_number,latitude,longitude,sighting_number,opportunistic_buoy,sonobuoy_type,channel,depth,hours_to_scuttle,bad_buoys,ship_noise,difar_signal,water_noise,biological_sounds,sounds_detected,dat_tape_number,additional_tapes,reception_distance_nmi,recording_reviewed,comments
2000-08-06 19:11:00,08/06/2000 19:11,1615,5,24.0896,-111.6546,1104,Other,53A,21,90,999,1,1,1,0,1,,1,0,,0,
2000-08-07 09:57:00,08/07/2000 09:57,1615,6,23.0736,-110.6755,1108,Other,53A,9,90,999,0,1,1,1,0,,1,0,,0,
2000-08-08 14:21:00,08/08/2000 14:21,1615,7,21.9325,-108.7613,1121,Other,57A,9,90,999,0,1,0,0,0,,2,0,,0,
2000-09-21 10:05:00,09/21/2000 10:05,1615,9,99.999,999.999,1341,Other,53,15,90,999,1,1,1,1,0,,2,0,,0,CHECK LAT LONG
2000-10-12 19:15:00,10/12/2000 19:15,1615,10,10.0903,-91.2084,1543,Other,53A,19,90,999,0,1,1,1,0,,3,0,,0,
2000-10-13 11:27:00,10/13/2000 11:27,1615,11,10.9103,-91.886,1545,Other,53A,12,90,999,0,1,1,1,0,,4,0,,0,
2000-10-14 19:36:00,10/14/2000 19:36,1615,12,8.7325,-94.3221,1561,Other,53A,17,90,999,0,1,1,1,0,,4,1,,0,
2000-10-31 18:10:00,10/31/2000 18:10,1615,14,9.8524,-95.615,1648,Other,53A,20,90,999,1,1,1,1,0,,6,0,,0,
2000-11-01 08:02:00,11/01/2000 08:02,1615,15,8.8943,-96.6045,1654,Other,53A,20,90,999,0,1,1,1,0,,7,0,,0,
2000-11-13 11:56:00,11/13/2000 11:56,1615,16,15.2642,-102.6783,1704,Other,53A,28,90,999,0,1,1,1,0,,7,0,,0,
2000-07-31 09:47:00,07/31/2000 09:47,1616,1,25.1367,-121.7643,999,Test,53,55,90,999,0,1,1,1,0,,999,0,,0,"Test, tape=Test1"
2000-08-06 19:39:00,08/06/2000 19:39,1616,4,17.0051,-120.1825,18,Other,53,20,60,999,3,1,1,1,1,,2,0,,0,
2000-08-10 11:16:00,08/10/2000 11:16,1616,5,10.1197,-126.6402,41,Other,53,21,90,999,0,1,1,1,0,,3,0,,0,
2000-08-12 14:12:00,08/12/2000 14:12,1616,7,13.0976,-131.4765,67,Other,53,9,90,999,0,1,1,1,1,,4,0,,0,
2000-08-13 09:05:00,08/13/2000 09:05,1616,8,12.4572,-132.5395,74,Other,53,56,90,999,0,1,1,1,0,,5,0,,0,
2000-09-04 10:23:00,09/04/2000 10:23,1616,11,11.5415,-140.495,133,Other,53,16,90,999,1,1,1,1,1,,6,0,,0,
2000-09-08 16:10:00,09/08/2000 16:10,1616,12,2.3315,-129.3112,140,Other,53,13,90,999,0,1,1,1,0,,7,0,,0,
2000-09-09 15:38:00,09/09/2000 15:38,1616,13,0.3616,-126.8983,144,Other,57A,12,60,999,0,1,1,1,0,,8,0,,0,
2000-09-10 14:48:00,09/10/2000 14:48,1616,14,-2.45,-126.2333,148,Other,53,9,90,999,0,1,1,1,0,,9,0,,0,
2000-09-13 12:52:00,09/13/2000 12:52,1616,15,-4.4166,-119.3408,165,Other,53,15,90,999,0,1,1,1,0,,10,0,,0,
2000-09-13 15:34:00,09/13/2000 15:34,1616,16,-4.3972,-118.9993,168,Other,53,6,90,999,0,1,1,1,0,,11,0,,0,
2000-09-14 14:34:00,09/14/2000 14:34,1616,19,-4.3612,-116.696,173,Other,57,12,60,999,1,1,1,1,1,,12,0,,0,
2000-09-15 15:52:00,09/15/2000 15:52,1616,21,-4.0457,-113.3203,174,Other,57,12,60,999,1,1,1,1,1,,13,0,,0,
