Cruise,Sonobuoy Number,Date,Latitude,Longitude,Sighting Number,Opportunistic Buoy?,Sonobuoy Type,Channel,Depth,Hours to Scuttle,Bad Buoys,Ship Noise?,Difar Signal?,Water Noise?,Biological Sounds?,Sounds Detected,DAT Tape Number,Additional Tapes?,Reception Distance (nmi),Recording Reviewed?,Comments
1621,1,8/29/2002 6:40,27.6681,-173.2215,145,Other,53a,29,1000,999,0,1,1,1,0,NA,1,0,NA,0,NA
1621,2,8/29/2002 14:48,27.9721,-174.4345,147,Other,53a,29,1000,999,0,1,1,1,0,NA,2,0,NA,0,NA
1621,3,9/10/2002 19:18,28.0168,-178.1806,166,Other,53a,29,90,999,1,1,1,1,1,NA,3,1,NA,0,NA
1621,4,9/12/2002 16:13,25.9333,-179.7891,169,Other,53a,29,90,999,0,1,1,1,1,NA,5,0,NA,0,NA
1621,5,9/17/2002 10:11,27.8756,-178.8405,177,Other,53a,29,90,999,0,1,1,1,0,NA,6,0,NA,0,NA
1621,6,10/16/2002 9:20,25.5685,-174.5061,212,Other,53a,29,90,999,3,1,1,1,1,NA,7,0,NA,0,NA
1621,7,10/17/2002 18:49,24.6633,-170.9566,224,Other,53a,29,90,999,0,0,0,0,0,NA,8,1,NA,0,NA
1621,8,11/7/2002 8:02,23.323,-174.779,265,Other,53a,29,90,999,0,1,1,1,0,NA,10,0,NA,0,NA
1621,9,11/8/2002 15:15,22.4605,-171.766,275,Other,53a,29,90,999,1,1,1,1,0,NA,11,0,NA,0,NA
1621,10,11/20/2002 16:32,21.422,-156.0095,284,Other,53a,29,90,999,0,1,1,1,1,NA,12,1,NA,0,NA
1621,11,11/22/2002 10:46,19.342,-154.1746,287,Other,53a,29,90,999,0,1,1,1,1,NA,14,0,NA,0,NA
