"Cruise","Sonobuoy Number","Date","Latitude","Longitude","Sighting Number","Opportunistic Buoy?","Sonobuoy Type","Channel","Depth","Hours to Scuttle","Bad Buoys","Ship Noise?","Difar Signal?","Water Noise?","Biological Sounds?","Sounds Detected","DAT Tape Number","Additional Tapes?","Reception Distance (nmi)","Recording Reviewed?","Comments"
1625,5,2004-07-15 14:30:00,58.6691,-144.3976,169,"Other","999",56,90,8,0,0,0,0,0,NA,7,1,NA,0,NA
1625,6,2004-07-15 16:48:00,58.5581,144.565,174,"Other","999",62,999,999,0,1,0,1,1,NA,9,1,NA,0,NA
1625,7,2004-07-18 17:48:00,55.6445,148.1766,229,"Other","57",1,999,999,0,1,0,1,1,NA,12,1,NA,0,NA
1625,8,2004-08-08 21:20:00,56.1028,-165.0631,NA,"CTD","999",64,999,8,1,1,0,1,1,NA,14,1,NA,0,NA
1625,9,2004-08-09 04:19:00,51.5728,-165.7871,NA,"Morning","53a",60,90,8,2,1,1,1,1,"pm",16,1,NA,0,NA
1625,10,2004-08-18 04:35:00,52.7586,-172.1518,NA,"Morning","999",60,NA,8,2,1,0,1,1,"pm oo",18,1,NA,0,NA
1625,11,2004-08-19 04:07:00,52.5663,169.2321,NA,"Morning","999",56,90,8,1,1,0,1,1,"pm oo",20,1,NA,0,NA
1625,12,2004-08-19 14:22:00,52.5916,-169.2448,444,"Other","999",64,90,8,1,1,1,1,1,NA,23,1,NA,0,NA
1625,13,2004-08-19 15:15:00,52.044,-168.934,444,"Other","999",60,90,8,0,1,1,1,1,NA,24,1,NA,0,NA
1625,14,2004-08-20 06:07:00,52.3494,171.4825,NA,"Morning","999",58,90,8,0,1,0,1,1,"pm oo",27,0,NA,0,"note: this is EAST LONGITUDE! We are close to russia!"
1625,15,2004-08-23 05:06:00,50.4785,179.3395,NA,"Morning","53a",56,90,8,0,1,1,1,1,"pm",28,1,NA,0,"NOTE: THIS IS AT EAST LONGITUDE! NEAR RUSSIA!"
1625,16,2004-08-23 16:00:00,50.4955,-178.8673,458,"Other","999",64,90,8,0,1,1,1,1,NA,30,1,NA,0,"blue whales sounds, but NOT sighted animal!"
1625,17,2004-08-23 16:47:00,50.4878,-178.8083,458,"Other","999",60,90,8,0,1,1,1,1,NA,30,1,NA,0,NA
1625,18,2004-08-23 17:20:00,50.4933,-178.7766,458,"Other","999",56,999,999,0,1,1,1,1,NA,31,1,NA,0,NA
1625,19,2004-08-24 04:49:00,50.6501,-176.6838,NA,"Morning","999",60,90,8,0,1,1,1,1,"pm bm",33,1,NA,0,NA
1625,20,2004-08-24 06:22:00,50.619,-176.6995,NA,"Morning","999",54,90,8,0,1,1,1,1,NA,34,1,NA,0,NA
1625,21,2004-08-25 05:06:00,50.8978,-172.8607,NA,"Morning","999",64,90,8,0,1,1,1,1,"pm bm",36,1,NA,0,NA
1625,22,2004-08-26 05:11:00,51.7776,-170.3295,NA,"Morning","999",60,90,8,0,1,0,1,1,NA,38,1,NA,0,NA
1625,23,2004-09-03 18:37:00,54.9678,-167.6368,540,"Other","57",999,999,999,0,1,0,1,1,"oo",41,1,NA,0,NA
1625,24,2004-09-04 08:58:00,55.6576,-169.3588,544,"Other","999",56,90,8,0,1,0,1,1,"bp",44,0,NA,0,NA
1625,25,2004-09-07 07:51:00,57.0766,-165.7316,NA,"Other","999",56,90,8,0,1,1,1,1,"Bp, Ej",45,1,4,0,"opportunistic buoy to listen for right whales"
1625,26,2004-09-07 13:40:00,56.4153,-165.8041,NA,"Other","999",56,90,8,0,1,1,1,1,"Ej, Bp, Mn",47,1,NA,0,"opportunistic buoy for right whales"
1625,27,2004-09-07 15:16:00,56.3398,-165.7312,NA,"Other","999",60,NA,NA,NA,1,1,1,1,NA,48,1,NA,0,"opportunistic buoy for right whales"
1625,28,2004-09-07 19:13:00,55.9793,-165.9482,567,"Other","999",60,90,8,0,1,1,1,1,"Ej, Mn",50,1,NA,0,NA
1625,29,2004-09-07 19:50:00,55.9683,-165.81,567,"Other","999",56,90,8,0,1,1,1,1,"Ej, Mn",50,1,NA,0,NA
1625,1,2004-07-11 16:23:00,58.8153,-140.025,118,"Other","53d",58,90,8,0,1,1,1,0,NA,1,0,NA,0,NA
1625,2,2004-07-13 11:00:00,59.161,-141.2591,126,"Other","57",1,90,8,0,1,0,1,0,NA,2,0,3,0,NA
1625,3,2004-07-14 19:43:00,59.2792,-143.6567,148,"Other","53d",60,90,8,0,0,0,0,0,NA,3,1,NA,0,"also, s#146, 147, and 145 nearby"
1625,4,2004-07-14 19:45:00,59.2778,-143.6597,148,"Other","53d",56,90,8,0,0,0,0,0,NA,3,1,NA,0,"also, s#146, 147, and 145 nearby"
1625,30,2004-09-07 00:12:00,55.8377,-166.1992,NA,"Other","999",56,90,8,1,0,0,0,0,NA,53,1,NA,0,"opportunistic buoy for right whales"
1625,31,2004-09-08 06:05:00,55.7682,-166.1918,NA,"Other","999",62,90,8,0,1,1,1,1,NA,58,1,NA,0,"opportunistic buoy for right whales"
1625,32,2004-09-08 08:25:00,55.8526,-166.2368,NA,"Other","999",54,90,8,0,1,1,1,1,NA,60,1,NA,0,"opportunistic buoy for right whales; many sightings in area"
1625,33,2004-09-08 16:22:00,55.9029,-166.0097,NA,"Other","999",60,90,8,0,1,1,1,1,NA,67,1,NA,0,"opportunistic buoy for right whales; many sightings in area"
