Cruise,Sonobuoy Number,Date,Latitude,Longitude,Sighting Number,Opportunistic Buoy?,Sonobuoy Type,Channel,Depth,Hours to Scuttle,Bad Buoys,Ship Noise?,Difar Signal?,Water Noise?,Biological Sounds?,Sounds Detected,DAT Tape Number,Additional Tapes?,Reception Distance (nmi),Recording Reviewed?,Comments
1627,3,8/12/2005 14:09,43.079666,-129.886166,1049,Other,77,88,NA,NA,2,1, ,1,1,,NA,0,NA, ,No Recording 
1627,5,8/16/2005 14:49,45.32483,-126.17783,1060,Other,77,58,NA,NA,1,1, ,1,1,,1,0,NA,,Hdrecording also
1627,6,8/22/2005 9:12,43.580166,124.949333,1100,Other,57,29,NA,NA,1,1,0,0,0,NA,NA,0,NA,NA,"Recording Deleted, appears to e a bad buoy?"
1627,7,8/23/2005 17:07,43.72383,-128.38833,1112,Other,57,NA,NA,NA,0,1,0,1,1,,2,0,NA,,Great Vocals (Bb!); Hdrecordings also
1627,9,8/26/2005 14:23,43.458833,-130.150166,1119,Other,53,64,NA,NA,1,1,,1,1,,3,0,NA,,
1627,10,8/27/2005 14:42,40.71,-130.9795,1121,Other,77,75,NA,NA,0,1,,1,1,,3,4,NA,,SBDAT4 started after delay and this tape was damaged on playback
1627,11,9/4/2005 12:19,36.4375,-126.5745,1156,Other,53,54,NA,NA,0,0,0,0,0,,NA,0,NA,,Bad Buoy
1627,12,9/4/2005 19:05,36.47433,-125.87383,1160,Other,77,68,NA,NA,0,1,,1,,,4,5,NA,,Hdrecording also
1627,13,9/5/2005 12:22,37.16,-125.67117,1165,Other,77,65,NA,NA,0,NA,NA,NA,NA,,NA,0,NA,,NO RECORDING
1627,14,9/17/2005 14:10,41.12817,-129.25817,1214,Other,77,65,NA,NA,0,1,,1,,,6,0,NA,,Hdrecording also
1627,15,9/22/2005 11:23,36.1095,-124.29483,1257,Other,57,29,NA,NA,0,,,,,,7,0,NA,,
1627,18,9/29/2005 12:20,31.77333,-119.218,1258,Other,77,55,NA,NA,3,1,,,,,7,0,NA,,Hdrecording also
1627,20,9/29/2005 18:26,32.21533,-119.14933,1273,Other,77,58,NA,NA,0,,,,,,8,0,NA,,Hdrecording also
1627,21,9/30/2005 10:53,33.06183,-118.22617,1284,Other,77,64,NA,NA,0,1,,1,,,9,0,NA,,Hdrecording also
1627,22,10/9/2005 14:23,34.35583,-123.26,1309,Other,77,63,NA,NA,0,1,1,1,,,10,0,NA,,Hdrecording also
1627,23,10/10/2005 14:38,35.50567,-122.9475,1316,Other,77,65,NA,NA,0,1,,1,,,11,0,NA,,
1627,24,10/21/2005 17:28,43.5115,-126.68317,1430,Other,77,63,NA,NA,0,1,,1,1,,12,0,NA,,Hdrecording also
1627,25,10/21/2005 18:57,43.60083,-126.66833,1433,Other,77,56,NA,NA,0,,,,,,12,13,NA,,Hdrecording also
1627,26,10/23/2005 12:29,45.67383,-124.42583,1442,Other,77,63,NA,NA,0,,,1,1,,13,14,NA,,Hdrecording also
1627,27,10/29/2005 10:50,46.2465,-124.25067,1451,Other,57,29,NA,NA,0,,0,,,,14,0,NA,,Hdrecording also
1627,28,11/10/2005 13:59,32.935,-120.465,1503,Other,77,64,NA,NA,0,1,,1,1,,15,16,NA,,Hdrecording also
1627,30,11/11/2005 17:03,33 49.76,121 55.50,1513,Other,57,29,NA,NA,0,1,,1,,,16,0,NA,,
1627,31,11/19/2005 8:13,37.397166,-123.923666,1528,Other,77,65,NA,NA,0,,,,,,16,0,NA,,
1627,32,11/22/2005 15:44,35.574333,-122.918666,1560,Other,57,29,NA,NA,0,,0,,,,17,0,NA,,
1627,33,11/27/2005 13:53,34.140833,-124.993,1579,Other,77,63,NA,NA,0,1,,,,,17,0,NA,,
