Cruise,Sonobuoy Number,Date,Latitude,Longitude,Sighting Number,Opportunistic Buoy?,Sonobuoy Type,Channel,Depth,Hours to Scuttle,Bad Buoys,Ship Noise?,Difar Signal?,Water Noise?,Biological Sounds?,Sounds Detected,DAT Tape Number,Additional Tapes?,Reception Distance (nmi),Recording Reviewed?,Comments
1629,1,8/15/2005 16:34,8.9865,-164.8333,68,NA,53D,56,90,8,1,1,1,1,0,NA,1,0,4,0,CHECK BUOY TO SEE IF THERE ARE VOCALS
1629,2,8/22/2005 12:09,3.66,-163.4892,104,NA,53D,64,90,4,3,1,1,1,1,NA,2,0,3,0,CHECK SONOBUOY FOR VOCALS
1629,3,8/22/2005 15:53,3.8728,-163.1832,107,NA,77A,50,NA,4,3,1,1,1,0,NA,3,0,NA,0,"Sh, C2
Check sonobuoy for vocals"
1629,4,8/23/2005 18:12,4.9318,-161.9555,121,NA,53D,50,90,8,1,1,1,1,1,NA,4,1,NA,0,"Check for vocals
SBDAT4-6"
1629,5,9/2/2005 17:00,8.9263,-164.0743,167,NA,77B,56,NA,NA,1,1,1,1,1,NA,7,1,NA,0,"Sh BB
Check sonobuoy for vocals
SBDAT7-8"
1629,6,11/13/2005 18:00,16.675667,-159.325167,NA,NA,77B,53,NA,4,2,1,1,1,0,NA,9,0,NA,0,
1629,7,11/14/2005 0:00,19.6718,-158.4194,NA,NA,77B,56,NA,8,0,1,1,1,0,NA,10,0,NA,0,
1628,3,8/12/2005 13:09,43.0768,-129.9023,1049,Other,77,22,999,999,2,1,1,1,0,NA,2,0,NA,0,NA
1628,5,8/16/2005 14:49,45.3253,-126.2038,1060,Other,77,65,999,999,1,1,1,1,0,NA,1,0,NA,0,NA
1628,7,8/23/2005 17:07,43.7238,-128.3883,1112,Other,57,29,999,999,0,1,0,1,1,NA,2,0,NA,0,NA
1628,9,8/26/2005 14:17,43.4531,-130.1508,1119,Other,77,64,999,999,1,1,1,1,1,NA,3,0,NA,0,NA
1628,10,8/27/2005 14:42,40.71,-130.9943,1121,Other,77,75,999,999,0,1,1,1,1,NA,4,0,NA,0,NA
1628,12,9/4/2005 19:03,36.4743,-125.8738,1160,Other,77,68,999,999,0,1,0,1,0,NA,4,1,NA,0,NA
1628,14,9/17/2005 14:06,41.1281,-129.2581,1214,Other,77,65,999,8,0,1,1,1,0,NA,6,0,NA,0,NA
1628,15,9/22/2005 11:23,36.1095,-124.2948,1257,Other,57,29,999,999,0,1,0,1,0,NA,7,0,NA,0,NA
1628,18,9/29/2005 12:30,31.7733,-119.218,1258,Other,77,55,999,999,3,1,1,1,0,NA,7,0,NA,0,NA
1628,20,9/29/2005 18:22,32.2153,-119.1493,1273,Other,77,58,999,999,0,1,1,1,0,NA,8,0,NA,0,NA
1628,21,9/30/2005 10:47,33.0618,-118.2261,1284,Other,77,64,999,999,0,1,1,1,0,NA,9,0,NA,0,NA
1628,22,10/9/2005 14:22,34.3558,-123.26,1309,Other,77,63,999,999,0,1,1,1,1,NA,10,0,NA,0,NA
1628,23,10/10/2005 14:33,35.5056,-122.9475,1316,Other,77,65,999,999,0,1,1,1,0,NA,11,0,NA,0,NA
1628,24,10/21/2005 17:28,43.5115,-126.6831,1430,Other,77,63,999,999,0,1,1,1,1,NA,12,0,NA,0,NA
1628,25,10/21/2005 18:55,43.6008,-126.6683,1433,Other,77,56,999,999,0,1,1,1,0,NA,12,1,NA,0,NA
1628,26,10/23/2005 12:25,45.6738,-124.4258,1442,Other,77,63,999,999,0,1,1,1,1,NA,13,1,NA,0,NA
1628,27,10/29/2005 10:40,99.9999,999.9999,1451,Other,57,29,999,999,0,1,0,1,1,NA,14,0,NA,0,NA
1628,28,11/10/2005 13:55,32.935,-120.465,1503,Other,77,64,999,999,0,1,1,1,1,NA,15,1,NA,0,NA
1628,29,11/10/2005 15:49,32.8858,-120.4686,1504,Other,77,53,999,999,0,1,1,1,1,NA,15,1,NA,0,NA
1628,30,11/11/2005 17:03,33.8293,-121.925,1513,Other,57,29,999,999,0,1,0,1,1,NA,16,0,NA,0,NA
1628,31,11/19/2005 8:10,37.0638,-123.9236,1528,Other,77,65,999,999,0,1,1,1,1,NA,16,0,NA,0,NA
1628,32,11/22/2005 15:41,35.5743,-122.9186,1560,Other,57,29,999,999,0,1,0,1,0,NA,17,0,NA,0,NA
1628,33,11/27/2005 13:45,34.1408,-124.993,1579,Other,77,63,999,999,0,1,1,1,0,NA,17,0,NA,0,NA
